Instance	N	M	Deg+1	Greedy	IRC
1-Insertio	67	232	23	5	8
2-Insertio	37	72	10	4	4
2-Insertio	149	541	38	5	9
3-Insertio	56	110	12	4	4
3-Insertio	281	1046	57	5	10
4-Insertio	79	156	14	4	4
4-Insertio	475	1795	80	5	11
anna      	138	986	72	12	11
david     	87	812	83	12	11
DSJC125.1 	125	736	24	8	15
DSJC125.5 	125	3891	76	26	44
DSJC125.9 	125	6961	121	56	61
DSJR500.1c	500	121275	498	109	248
DSJR500.1 	500	3555	26	15	16
DSJR500.5 	500	58862	389	143	123
fpsol2.i.1	496	11654	253	65	45
fpsol2.i.2	451	8691	347	30	29
fpsol2.i.3	425	8688	347	30	29
games120  	120	1276	14	9	12
homer     	561	3258	100	15	19
huck      	74	602	54	11	9
inithx.i.1	864	18707	503	54	39
inithx.i.2	645	13979	542	31	35
inithx.i.3	621	13969	543	31	36
jean      	80	508	37	10	11
le450_15a 	450	8168	100	22	46
le450_15b 	450	8169	95	22	45
le450_15c 	450	16680	140	30	78
le450_15d 	450	16750	139	31	78
le450_25a 	450	8260	129	28	49
le450_25b 	450	8263	112	27	45
le450_25c 	450	17343	180	37	79
le450_5a  	450	5714	43	14	33
le450_5b  	450	5734	43	13	32
le450_5c  	450	9803	67	17	46
le450_5d  	450	9757	69	18	48
miles1000 	128	6432	87	44	34
miles1500 	128	10396	107	76	50
miles250  	128	774	17	9	10
miles500  	128	2340	39	22	18
miles750  	128	4226	65	34	27
mug100_1  	100	166	5	4	5
mug100_25 	100	166	5	4	5
mug88_1   	88	146	5	4	5
mug88_25  	88	146	5	4	5
mulsol.i.1	197	3925	122	49	36
mulsol.i.2	188	3885	157	31	29
mulsol.i.3	184	3916	158	31	29
mulsol.i.4	185	3946	159	31	29
mulsol.i.5	186	3973	160	31	29
myciel3   	11	20	6	4	4
myciel4   	23	71	12	5	6
myciel5   	47	236	24	6	12
myciel6   	95	755	48	7	17
myciel7   	191	2360	96	8	27
qg.order60	3600	212400	119	64	114
queen5_5  	25	320	17	8	9
queen6_6  	36	580	20	11	12
queen7_7  	49	952	25	10	15
queen8_12 	96	2736	33	15	22
queen8_8  	64	1456	28	13	18
queen9_9  	81	2112	33	16	20
zeroin.i.1	211	4100	112	49	33
zeroin.i.2	211	3541	141	30	23
zeroin.i.3	206	3540	141	30	23
